name,set,rarity,id,tribe,courage,power,wisdom,speed,energy,mugic,elements,types,ability,flavor,brainwashed,unique,loyal,legendary,image,thumb,splash,artist,tages,gender,exclusive
Issaley,MI,Rare,7,OverWorld,60,50,75,40,55,1,Water,Caretaker Minion,Water 5,,"Opposing Creatures with Water have ""Exhaust all Disciplines 10.""",,,,0B6oyUfwoM3u1RkNwTUdVOVJhYTg,1sefJTxX_JAKP0OVphlk_jnQRDI0BBOee,,,,Ambiguous,Starter
"Kinnianne, Ambassador to the Mipedians",SS,Super Rare,7,OverWorld,60,35,65,60,50,2,Earth,Ambassador,"If a Mugic or ability would heal a Mipedian you control, it heals an additional 5 damage.
Kinnianne may play Mipedian Mugic",,,1,,,0B6oyUfwoM3u1MFlsT1N6TVgxcTA,10Ngj96ylGfJbmibQ6_mIgnn5RloNSgxO,,,,Female,
"Najarin, Fluidmorpher's Foe",ROTO,Ultra Rare,7,OverWorld,30,35,70,45,25,3,,Overworld Hero Strategist,"When an opposing Creature not named Najarin gains a Mugic counter, Najarin gains a Mugic counter.
{{MC}}: Target Creature gains 5 Energy.
{{MC}}{{MC}}: Negate target M'arrillian Mugic.",,,1,,,0B6oyUfwoM3u1eUlIMnE1VjY5QVU,1GKkCpllAZrrNCVKLtFdNz1foYKk4_RtD,1yTBsmGh8cX8WG2TopqgpZ-xSjOcOkZqK,,,Male,
"Tangath Toborn, OverWorld General",FUN,Super Rare,7,OverWorld,55,75,95,35,60,0,"Fire, Water",Strategist Warrior,"Defender
On an opponent's turn, Tangath Toborn has:
""Fire 5"" if you control and UnderWorlder.
""Disarm"" if you control a Mipedian.
""Elementproof all Element Types 5"" if you control a Danian",,,,,1,1lhJKuLhEgbCVXWG4gmyrBFtaNicLcvoJ,10Sq2i0K7DoIw8EIPI6-MFfAXiEuGL8ph,,,ttog,Male,
Vix'ben,TOTT,Super Rare,7,M'arrillian,35,40,65,35,35,0,Water,Fluidmorpher,"Fluidmorph
When an opposing Creature plays a Mugic Card, remove all Mugic counters from Vix'ben. If the Mugic card's cost is less than the number of Mugic counters removed this way, negate that Mugic.",,,,1,,0B6oyUfwoM3u1Sy1sVjlwX2h1RWc,1Tzu5AuZszjmzfvXbwhgN8kqcThEGo-zB,,,Vixben vix ben,Male,
"Agitos, Eloquent Motivator",TOTT,Super Rare,8,UnderWorld,95,40,75,25,35,2,,Commander,"At the beginning of your turn, UnderWorld Creatures you control gain ""Intimidate: Courage 20"" and ""Intimidate: Power 20.""
{{MC}}{{MC}}: Target Creature gains ""If an adjacent opposing Creature can move into this Creature's space, it must do so.""",,,,,,0B6oyUfwoM3u1RUcyUDl6MUJXZTg,1Y8szCLFnv21NrT0tQgrnWhn1Kt7oCAPT,,,,Male,
Blaaxa,ROTO,Super Rare,8,UnderWorld,30,35,70,45,25,0,,Ethereal Minion,Reveal an Attack Card from your hand: Target Attack with the same name as the revealed card deals 0 damage.,,Reveal a Mugic Card from your hand: Negate target Mugic with the same name as the revealed card.,,,,0B6oyUfwoM3u1NlRkNVFVT1UyN1U,1B6PmPqnXmtzPfXzCup2htXJMs_gxAIfj,,,,"Ambiguous, Female",
Dalgad,AU,Super Rare,8,OverWorld,50,70,75,40,60,0,"Fire, Water",Elementalist Scout,Dalgad deals an additional 5 damage with Elemental attacks.,"""The powers of the elements can make even the smallest Creatures mighty."" 
—Heptadd",,,,,17eBnlcIn9MdAGSWKlacSJqWepa0ZhXwo,1REcYGboNZ3hlMkqp2MHZ6GeGkHSQC24G,1REsiWRZyj8gHw_fdSkpLovxYtjAYFwU1,,,Male,
Dractyl,DOP,Common,8,OverWorld,25,70,50,75,40,0,,Scout,"Range
Swift 1",The high-flying OverWorld messenger and spy.,,,,,0B6oyUfwoM3u1cUtsc0FIdHNfeW8,1MCVUD3NVKvWZxgY8L9S8qRbioAC-uohK,0B90YZmNLvXOyckozVm00QUI0SmM,,,Male,
Farhkaj,LR,Uncommon,8,Mipedian,35,55,45,75,60,1,Air,Elite Warrior,Reduce damage dealt to Nukasai by Water attacks by 5.,,,,1,,13pKGTJIqu-GK3uydk1_Ni24iKgAcT_-c,1dKkcyj7qX5yFhtzbWGJglPLy2lO54J1y,,,,Male,Online
Ghatup,OP1,Uncommon,8,Mipedian,60,20,65,60,40,2,Air,Scout,,"Traveling far beyond the desert, Ghatup has seen many sights, including those he wishes he never had.",,,,,1hLXQR8nSW1YafDS0fDt83iAzj3tbpVtr,1YbVVJG0Px_YyGssqlZ5aPrxuyJDGlOuE,,,,Male,
Illazar,ZOTH,Super Rare,8,UnderWorld,45,70,60,55,40,2,Air,Muge,"When a Creature you control leaves play, if that Creature had one or more Mugic counters on it, remove a Mugic counter from target Creature.",No one believed Bodal when he said he was struck by a streaking rainbow.,,1,,,0B6oyUfwoM3u1UjZfZWFXY2lRX3M,1v2iSH4OLEEenYgpUlCcu1ghKLi2M7A-G,0B90YZmNLvXOyS3pRS08zdVFyakE,,,Male,
Lystone,MI,Common,8,OverWorld,25,30,60,25,30,3,,Minion Muge,{{MC}}{{MC}}: Target Creature gains 30 to all Disciplines.,,{{MC}}: Target Creature gains 10 to all Disciplines.,,,,0B6oyUfwoM3u1NWdXTkt5cWdNc28,1wYjAfELn5I_1AfxTuncIE4_uMlmlKTkG,1QIkczjQ2xvHBdD8ge-VRoz_rDwcF1WwQ,,,Female,
Nakal,OP1,Rare,8,Danian,55,50,30,55,30,1,"Fire, Earth",Mandablor,,Maintaining the crumbling walls of Mount Pillar is the most important - and most thankless - job of the Mandiblors.,,,,,1agR7H5BpfKsUKST2rYrrdzbakzMscHP3,1p5_T0z-reDaQjHLXcEhcFKnAgaEQIRtH,,,,Male,
Olkiex,SS,Super Rare,8,OverWorld,40,65,70,30,50,0,Water,Strategist,"When a Creature you control gains a Mugic counter, flip target face-up Battlegear face-down.","Though Bodal takes credit for the repairs, Olkiex loves working for such a ""charismatic"" boss.",,,,,0B6oyUfwoM3u1ZzY5UDJnWWpvQTQ,1wGP6ypkP7SYsS5NrdKgO1CpWpV1ZVc6C,,,,Male,
Simalin,MI,Promo,8,OverWorld,70,50,40,60,45,0,"Earth, Water",Elementalist Warrior,The first attack against Simalin each combat deals 20 less damage.,,,,,,1hnXbo4IIXzgNkKn6lUo60WYod0rH7Zf6,12v7WV-QBSKrGH2nVbnQa7tC7RGES40Jn,1xsYcMq49XYmq-s95Rm72NTK4Y_VDvgnj,,,Female,
"Vidav, Master Strategist",FUN,Super Rare,8,OverWorld,45,25,105,30,40,3,,Strategist,{{MC}}: Choose a Tribe. Target Creature also counts as the chosen Tribe.,,,1,,,1LnxmlufY5w9MoG5cSWkfOazxavKkC8u7,142dCJmKCJfrDaT6Gxf9YUUSP1dIsRBp9,1_9hUFo1da2JPunNtkHfCEgdOC4iZQv-m,,,Male,
Anarkiar,FUN,Uncommon,9,UnderWorld,60,85,30,40,60,1,,Warrior,"Outperform Power 5
Recklessness 10
While you control an OverWorlder, Recklessness damage dealt to Anarkiar is reduced to 0.",,,,,,1R845U2bd2waoCA5MFzCUVlfbnoPKl1Cg,18XR4_T2sPZVZVKzJtaMLyvquKzRmtgaW,1YJwnie5aMqKV5Hio8T3yQV4R6yKnYPSs,,,Male,
Blak'drin,LR,Super Rare,9,M'arrillian,60,65,55,70,45,0,Water,Kha'rall,"Air and Water attacks deal an additional 5 damage to Blak'drin.
When Blak'drin is dealt Air or Water damage, deal 10 damage to the Creature which played that attack.",,,1,1,,14VXQ1RyjayIZyJWsVGW_89JfFgW5QFgo,1TtkH_iO1r9iKLIcID7kFwtHgkuyR4af4,,,blak drin blakdrin,"Ambiguous, Male",Online
"Donmar, Tablet Translator",AU,Common,9,OverWorld,60,40,75,30,45,1,Water,Caretaker,Expend Water: Heal 10 damage to target Creature.,"The glyphs on the First Tree which stands at the center of the Runic Grove speak only to him. They cry, ""Change is coming!""",,,,,1--rp1uvDOk1vb2qJ4KOMppxXmLTsgThb,19Pxremtz4aAVevuiQ6BGKzlpYSEAbEFB,1JYCWlLHyKxGKQmTrfApAqP1FQvfi7gOZ,,,Male,
Eximiar,TOTT,Common,9,UnderWorld,60,70,30,15,55,0,"Fire, Air",Warrior,"Outperform Power 5
While engaged with an UnderWorld Creature, Eximiar has ""Fire 5"" and ""Recklessness 5.""","""You call them weak-minded. I call them traitors!"" 
—Eximiar",,,,,0B6oyUfwoM3u1QlNSZTlKbTZ4WlE,1FLY3pD9f3vHj7cTZqE12JFORaN0Tq1yj,1Ni9dujupwpYv6tbWWRj0urxtWpB1_fmh,,,Male,
Frafdo,DOP,Uncommon,9,OverWorld,85,80,45,75,35,0,,Guardian,Support: Courage 5,This winged warrior makes his nest at Castle Bodhran.,,,,,0B6oyUfwoM3u1QWFPTjdRVUdiYXM,1kHYYzuk0hlP2RLzsfJ9QoH8YgqXx0Fp5,0B90YZmNLvXOyOFlVcGhjWjRETEk,,,Male,Starter
"H'earring, Tainted",ROTO,Rare,9,UnderWorld,45,65,40,50,50,1,,Minion Scout,"At the beginning of combat, look at your opponent's attack hand and choose an Attack Card. They discard it and then draw an Attack Card.",,"{{MC}}, remove a Mugic counter from each other Creature you control: Look at the top three cards of target player's Location Deck and choose one. It becomes the new active Location.",,,,0B6oyUfwoM3u1U05vOThZamtXazQ,1pP4NDddqVQZulb9i5ubG7EFn5wAOEi_v,134K2Z0A8bv8CzMsIhnXQXrw9uaqjfViM,,Hearring,Male,
Kamangareth,ZOTH,Uncommon,9,UnderWorld,60,70,30,55,55,0,Earth,Commander,Deal 15 damage to Kamangareth while engaged: Deactivate Hive.,"""Stalk, isolate, destroy. Do these three things and the Danians are powerless!"" —Kamangareth

",,,,,0B6oyUfwoM3u1UWhRT3dHeVBOYlE,1D8ofahB6FJ0WGEJFGFltkCvxhDe8vZ-Z,0B90YZmNLvXOyd0RaVDNGUDh2Ukk,,,Female,
Okaxor,MI,Super Rare,9,OverWorld,45,25,75,30,40,3,Water,Caretaker Minion,{{MC}}: Target Creature gains 25 to a Discipline of your choice.,,{{MC}}: Target Mugic or ability cannot increase or decrease any Creature's disciplines.,,,,0B6oyUfwoM3u1YTFJS2FRZjRSMWs,1_qTMTsgZh3A5Br1oRlveUSES9smYpbiW,1MgIH4HlP-4aOYW7PayYb-aCaZMgelNdv,,,Male,
Viqtarr,SS,Rare,9,OverWorld,75,45,75,35,40,0,"Earth, Water",Strategist,"While Viqtarr has both higher Courage and Wisdom than the opposing engaged Creature, the first attack against it each combat deals 0 damage.",,,,,,0B6oyUfwoM3u1a2lRZ2t6OENzRkE,1-UFeStO3nLzM5PhnxYLDbYAYnQHmBgRF,1K0KNgFRnCpIsEd_XR6apemfQuyNUIw2E,,,Male,
"Barath Beyond, UnderWorld General",FUN,Super Rare,10,UnderWorld,40,90,20,75,60,0,"Fire, Air",Ethereal Warrior,"Sacrifice a Creature while Barath Beyond is engaged: If you sacrificed, 
An OverWorlder, negate target Mugic.
A Mipedian, the next attack played by Barath Beyond deals an additional 20 damage.
A Danian, Barath Beyond gains 30 Energy.",,,,,1,1Dqc0319Qz7J5AqXqhSGISztC3AZWYIsq,1hffGXm-21yZwN2k7Carp5vkI9vhsJfni,17zFxCqwq99F7wi5Aoyw0bM3xpO_u3Q2p,,Barrath beyond,Male,
Eremia,AU,Super Rare,10,OverWorld,70,60,65,45,60,1,,Elementalist Warrior,"When another Creature you control loses an Elemental Type, Eremia gains that Elemental Type.","""Those who deplete the powers of the elements must pay a tax to nature itself, and I am here to ensure it gets collected.""",,1,,,1iv-YodBq8v0bGinSulQcB_v7Q9l8SIDC,16BVEO41rXEPDAHiazWbAvIwdmLI-Apx8,10pZSxfA_OIxNYt4jgakMyvN8RjRtHBI8,,,Female,
Galmedar,TOTT,Uncommon,10,UnderWorld,75,100,60,35,60,0,Earth,Commander Minion,"While a Creature engaged with Galmedar has Power less than 65, that Creature may not be healed or gain Energy.",,Each Creature you control deals an additional 5 attack damage to Creatures that share a Tribe with it.,,,,0B6oyUfwoM3u1bU9tNWlXRnZGZjQ,1mIJqn4Dw_LeBrR3LtUpSL5fK3mhoLHWB,,,,Male,
Gespedan,DOP,Common,10,OverWorld,45,50,35,100,35,1,,Scout,"Support: Speed 5
Swift 1","No matter how swiftly Gespedan sprints, he can’t outrun his one, tragic mistake.",,,,,0B6oyUfwoM3u1U1N0QW1ycjI0YlU,1PtbmwSk580WFxYcnf9LNN9xL3SpVyUli,0B90YZmNLvXOyNzRjOHNXWmlhcFE,,,Male,
"Khybon, The Renegade",ROTO,Uncommon,10,UnderWorld,60,50,70,20,50,1,Air,Taskmaster Minion,"At the beginning of combat, if Khybon is equipped, it gains 10 Energy.",,"At the beginning of combat, Khybon gains 5 Energy for each Battlegear in each discard pile.",,,,0B6oyUfwoM3u1T2xMcHVMZ2tDRTA,1R-84D3M4tG8otsLCAFEv-MA9WhECRAtl,,,,Male,
Narfall,ZOTH,Uncommon,10,UnderWorld,45,70,45,40,50,0,Fire,Elementalist,"When Narfall becomes engaged, deal 5 damage to opposing engaged Creature for each Elemental Type that Creature has.","The breeze suddenly died, as if all hope left the world.",,,,,0B6oyUfwoM3u1SkJEYldLa1dDelU,1QPEqhjh2_1F2g9XLBujpJzmUrCqEX_wJ,0B90YZmNLvXOyc3hfR25LUFhralk,,,Male,
Nis'dabba,LR,Common,10,M'arrillian,45,35,60,60,50,0,Water,Chieftain,Discard a Mugic Card: Swap two Shards equipped to two Kha'rall you control.,,,1,1,,1qJ46ZRnjW-GoSNvy2SAd-vZDD17THitF,1qTovUM5KqHu3rzDi7Bj5-6DjrblQzQmC,,,nis dabba nisdabba,Ambiguous,Online
"Tangath Toborn, in Training",MI,Super Rare,10,OverWorld,50,75,85,35,65,2,"Fire, Earth, Water",Hero Warrior,"{{MC}}: Tangath Toborn gains or loses Courage, Power, Wisdom and Speed to make its Disciplines equal to its Scanned Disciplines.",,,,,,0B6oyUfwoM3u1T2Z2bmNMSmtUREU,1S7OXlQXqbocdYWGJolhD6mwFtA7-rLBY,"
1lXCtpNXTefnm5A6oh-0X9n6AmyYg3T2C",,TTIT ,Male,Starter
Vasquin,OP1,Rare,10,Mipedian,65,40,85,35,55,1,,Muge,{{MC}}: Deal 5 damage to target Creature.,"After stealing Ulmar's top-secret Mugiblade, Vasquin earned himself an eternal enemy... but it was well worth it!",,,,,1YkhDonca2bTqeVRQzQYNHEnrfBvGaVBD,1MXjPGxq72iTLOH-ffOAyqrBrQV9Vv1Er,1lRiXVpFqS8WzZIuvpzb8qHanfOzInbnE,,,Male,
Wytod,SS,Rare,10,OverWorld,50,25,55,30,40,1,,Muge,Sacrifice Wytod: Choose a new target for target Mugic which only targets a single Creature.,"Few Creatures have saved both Maxxor and Najarin's lives. None but Wytod have done so twice!

",,,,,0B6oyUfwoM3u1bk1HSHdKUVhtaDg,1FUMXoWArzuBhsWx2fP3ORsjCYJ-Sno8T,1jIITPUMo76Uh3rG6f7iuOq5HZ5erQDhK,,,Male,
Atrapol,SS,Common,11,UnderWorld,65,55,25,15,45,0,Earth,Warrior,"When Atrapol wins a Power Challenge on an attack it plays, destroy target Battlegear equipped to the opposing engaged Creature.","Like most UnderWorlders, Atrapol fights best when he's already winning.",,,,,0B6oyUfwoM3u1QUZONjBIYW00UE0,1mHsWQD3nlY2Ga5E9ic0rSJnZKL5nikVv,,,,Male,
"Bodal, Flamedrill Researcher",FAS,Super Rare,11,OverWorld,50,20,80,30,30,1,,Hero,"Expend Earth: Return target Battlegear in your discard pile to play equipped to another unequipped Creature you control.
Expend Fire: Destroy a Battlegear you control. If you do, destroy target Battlegear.",,,,,,1ualcevpoe_VQjnvm6rRQ6YSjIytdF8wE,13ZOHetwkSOlLar8G2UteTmPuwUbyaY46,,,,Male,
"Chaor, The Fierce",FUN,Ultra Rare,11,UnderWorld,80,105,45,45,65,0,Fire,Conqueror Warrior,Fire 10,"Exiled from the UnderWorld, Chaor has lost his homeland and his throne. But his anger still rages, and it drives him forward.",,1,1,,1ZFOeTRmqvWhm4syMCWKApSgS8emintJ1,1TMWLmCdlkVo3hdUtJmAx66iMeqgNa40C,13Mhy-tQBXe6y1MWtwbkFVt7H6bG4Yu36,,chair,Male,
Heptadd,DOP,Ultra Rare,11,OverWorld,50,50,50,50,50,1,"Fire, Air, Earth, Water",Guardian Muge,Heptadd may play Mugic of any tribe.,Some in Perim believe that Heptadd knows where the Cothica is.,,1,1,,0B6oyUfwoM3u1RVNsQWxfVks3dlE,1krMtcspw8YTrOwiwg6722zkze8O9WJkw,0B90YZmNLvXOyYUNuUzVVZzFqa0k,,,Male,Starter
Heptadd (Tin Misprint),DOP,Ultra Rare,11,OverWorld,50,50,50,50,50,1,"Fire, Earth",Guardian Muge,Heptadd may play Mugic of any tribe.,Some in Perim believe that Heptadd knows where the Cothica is.,,1,1,,1GPOytBhQ5LA9tvW1fbizWH_AeQdSw2TV,1krMtcspw8YTrOwiwg6722zkze8O9WJkw,0B90YZmNLvXOyYUNuUzVVZzFqa0k,,,Male,Tin
Herken,AU,Common,11,OverWorld,60,25,75,30,50,1,Water,Caretaker,"{{MC}}: Heal 10 damage to target Creature. If that Creature has Water, heal 20 damage instead.","Despite numerous pleas, Herken refuses to reveal his secret ingredient.",,,,,19ORHBTr4beZgdZod65kdShlb6SYYD2fT,1x5ceG6SHMSs5iCnYM2N3jOputj-56TYo,,,,Male,
Klawam,TOTT,Rare,11,UnderWorld,15,95,15,60,45,0,,Taskmaster Minion,Sacrifice Klawam: Deal 20 damage to target engaged Creature.,,Sacrifice Klawam: Target engaged Creature loses 20 to all Disciplines.,,,,0B6oyUfwoM3u1T1JXWTBnNFA1OVU,1S2urgymLHsv-133S4wP4JmKl1rdEnS7f,1_SF72_iG8IoO-EEdA5MFhODqGC1FgLve,,,Male,
Nivenna,ROTO,Super Rare,11,UnderWorld,40,50,90,60,30,3,,Conqueror Muge,"{{MC}}: Choose an Elemental Type. Target Creature which dealt attack damage this turn gains ""Element 10"" of the chosen Elemental Type. Use this ability only once per turn.
Warriors you control have an additional 10 to all Disciplines. ",,,1,1,,0B6oyUfwoM3u1MWp1b29pdFhtY0U,1Zc0bk5OTIX5UeZ3EEDsrudrij8hNB9_X,,,,Female,
Ornathor,ZOTH,Common,11,UnderWorld,75,55,45,55,45,0,,Taskmaster,Waterproof 10,,,,,,0B6oyUfwoM3u1dDhONVZxNW53QXM,1YGMie_UgjyXgI-Tz6sWmAjJeI_DcLZ0v,0B90YZmNLvXOyeUh4YjFXSk5tbWs,,,Male,
Targubaj,MI,Uncommon,11,OverWorld,45,55,65,50,45,1,Fire,Minion Muge,{{MC}}: Heal 10 damage to target engaged Creature.,,{{MC}}: Relocate target opposing unengaged Creature into an unoccupied space adjacent to it.,,,,0B6oyUfwoM3u1eS1hbS03TTl0S1U,1MXSaCozkJgEbPnkTreyCSsQ2DkFEi6g5,19j3HmQALv83eE6_wUI_Ta0n7J-E9TKv2,,,Male,
Hune Canin,AU,Common,12,OverWorld,60,50,75,30,35,2,Fire,Muge,Expend Fire: Target Creature gains or loses all Disciplines so they become their scanned values.,"Calm, contemplative, subdued: the exact opposite of his daughter, Kinnianne. He blames that on her mother.",,,,,10iFgAblLdmQhqmPhks2qTyAjY3mhbSU9,1O1n60N0pa-1dp99MpJYY9GlFA7HqFRUy,,,,Male,
Intress,DOP,Super Rare,12,OverWorld,40,35,40,55,40,1,Water,Hero,Water 5,The secret behind Maxxor’s bond with Intress is also the wedge that keeps them apart.,,,,,0B6oyUfwoM3u1cGgxZEFpaFRfcVE,1NjPztMI8aJuOpdJNVKKyIQ2I_cNzQq-i,0B90YZmNLvXOyT1hpRmxsWWh6RUE,,,Female,Starter
"Kamangareth, Unstable Ally",FUN,Uncommon,12,UnderWorld,55,80,45,60,50,1,"Fire, Earth",Commander,"While you control a Danian, unequipped Creatures you control have ""Outperform Power 5.""",Kamangareth has no problem fighting alongside former foes. The Danians are not as forgiving.,,1,,,1f_88-I2O_2XBPL4-WLKwEtr_OSrEZ872,1Zt1ElkgrsQioCPNRoRxCPAU32bvgmdDH,1xmQtn9w8KG5nCuMnSgrP64fhD2Mhn9GR,,,Female,
Kopond,SS,Super Rare,12,UnderWorld,30,15,50,20,20,3,,Muge,{{MC}}: Deal 5 damage to target Creature for each Mugic counter on Kopond. This ability can only be used once per turn. ,,,,,,0B6oyUfwoM3u1anA4SDBMbm9KdHM,1KzhrGQO3csCncXLbLowVSF9P4RIzqNEI,1m8eZabc_sVjNdScBYRtb3DDaQuUXcF7O,,,Male,
"Lord Van Bloot, Servant of Aa'une",TOTT,Ultra Rare,12,UnderWorld,75,50,75,55,60,2,"Earth, Water",Conqueror Minion,"While a Creature engaged with Lord Van Bloot has less than 65 Courage, it does not have and cannot gain any Elemental Types.",,"While a Creature engaged with Lord Van Bloot has less than 65 Courage, it has ""Recklessness 5"" and ""Exhaust all Disciplines 5.""",1,,,0B6oyUfwoM3u1T2Z2U1M4VFk1Ymc,1kidm5RZFjT0gvdwmF6b-Oh3dknSPP9-O,1jUG_KnSDbzzUhIFlYX1VtKP1blbNkWEG,,lvb,Male,
Slufurah,ZOTH,Rare,12,UnderWorld,45,65,65,20,40,1,Fire,Muge,"Muges have ""Sacrifice this Creature: Deal 10 damage to target Creature.""

","""You've run out of Mugicians? Do not fear. I know how you can still be useful."" 
—Slufurah",,,,,0B6oyUfwoM3u1cE9oWGtwV3hIOTg,151kQG0RM4dti0eRkcfDfqt1w0CNanAZo,0B90YZmNLvXOyTE9sTWR3dUpXdW8,,,Male,
Stelgar,ROTO,Rare,12,UnderWorld,65,65,65,65,65,0,"Fire, Air",Minion Warrior,"When Stelgar deals attack damage, it gains 10 to all Disciplines.
If Stelgar has more than 125 Power, destroy it.",,"When Stelgar wins combat, it gains a Mugic counter.
If Stelgar has 2 or more Mugic counters on it, destroy it.",,,,1ZzJA2F-7j_HE4Z-FGwQXNW413FXmM6hE,1daEIASgLDkW6Qh12WmHe-jw_I88RdTXy,,,,Male,
"Tartarek, Psi Overloader",MI,Ultra Rare,12,OverWorld,100,40,100,60,65,2,"Fire, Earth",Hero Minion,"{{MC}}: Target Creature gains 35 Wisdom. 
Discard an OverWorld Mugic Card: Destroy target Chieftain with 100 or more Wisdom. ",,Tartarek may use its normal abilities.,,,,0B6oyUfwoM3u1VThobHYyQWkta28,1YT7LX6XNOQWSfYbHJUMAjsA_CP2IRzJW,1x9mK7SZlLApjalr90b_42jMiUL1oR1Fz,,,Male,
Illiar,AU,Super Rare,13,OverWorld,70,40,80,60,55,2,"Air, Earth",Warrior,Attacks with a Build Cost of 2 played against Illiar deal 0 damage.,"While he can wield six weapons at once, few realize his most powerful weapon is his mind.",,,,,1OVi3hdhMERnTePeYL9oNGQalkWCWs1ip,1kouVx7EXxebRDB9EDPBRDgzWRWXgBlj3,,,,Male,
Laarina,DOP,Uncommon,13,OverWorld,35,20,50,30,30,2,"Earth, Water",Scout,,“I don’t steal; I liberate lost valuables. And the only problem I have with what I do is the possibility of getting caught.” —Laarina,,,,,0B6oyUfwoM3u1MEJEeFhGTVFROEE,1FjckiF8mq_b80pDLOkjJqBmdiaTW0To7,0B90YZmNLvXOyRmtWdjl0MVFJbTg,,,Female,Starter
"Magmon, Retalliator",FUN,Super Rare,13,UnderWorld,55,85,15,30,70,0,"Fire, Earth",Minion Elementalist,"Magmon deals an additional 5 attack damage to M'arrillians and Minions.
Recklessness 5",,"Magmon deals an additional 5 attack damage to non-M'arrillians.
Recklessness 5",,,,1DrbmX3OycHSetsibgmbFAXYpCEZkNhxN,1Lm_3KMpsuzNJTeObpSUyx3KaAolFFhit,1acWkr0i5_UdYg28X8Jfq3LoNL3ze4cO6,,,"Ambiguous, Male",
"Ørth, The Empowerer",TOTT,Rare,13,OverWorld,85,100,40,20,40,1,Earth,Elementalist,"While the Initiative of the active Location is an Elemental Type, your engaged Creature has ""Element 5"" in that Elemental Type.","Alliances can be forged in the heat of battle, but trust? That is not as easy.",,1,,,0B6oyUfwoM3u1akJ3dTdvOW9nd28,1a-eOk22d4Fi-sK5Z273AycaQ5TKO58v8,,,Orth,"Ambiguous, Male",
Phelphor,SS,Super Rare,13,UnderWorld,55,65,60,50,45,1,Water,Conqueror Scout,"At the beginning of your turn, you may relocate target Creature to an open space on the Battleboard adjacent to that Creature.","Everyone wants to know what's behind the Doors, but none more than him.",,,,,0B6oyUfwoM3u1MTFMczVaakFNcEU,1ES3ZTBzNtFqQX_-SMsj575vbsPJQoMaK,,,,Male,
Riggan,FAS,Common,13,Danian,65,40,65,35,50,1,Earth,Mandablor Muge,Expend Earth while engaged: The active player reveals a new active Location.,"As the first through the Tremor Gate, he was the first to learn its secrets.",,,,,1_nvTdrxqLU69sUVT6bz9-1wcSunVPl7G,1NL6mtbjjAA-CI4a-Hd9OdOa4R9NFEWjN,,,,Male,
Strikto,ZOTH,Rare,13,UnderWorld,50,45,75,40,40,1,Fire,Warrior,"When Strikto gains a Mugic counter, it loses 10 Energy.
When a Creature deals damage to Strikto, that Creature loses 5 Energy.",,,,,,0B6oyUfwoM3u1MTl5NTRlZ3VBblE,1Klh7m94T2kamuwOv5cAMBqW3s2BbeEwH,0B90YZmNLvXOydTlBTFB5cHNzbjg,,,Male,
"Takinom, The Shadowknight",ROTO,Ultra Rare,13,UnderWorld,50,90,40,70,65,1,"Fire, Air",Commander,"Strike 10
{{MC}}: The next attack made by Takinom counts as its first attack this combat.
Swift 2",,,1,1,,0B6oyUfwoM3u1V0JwTGVsd040Qm8,157X9MYteSXxL2J-Idg9RChzNLDPhZm_Q,1_Fjwve-7p5bt2A882tYx-mnau4ojNKka,,,Female,
Trimdaal,MI,Uncommon,13,OverWorld,45,50,80,40,45,1,"Fire, Water",Minion Elementalist,Fire 5,,Water 5,,,,0B6oyUfwoM3u1bXVYYV9JZVM1Ync,1m_IvH3azCWt4jPFuCWDW-LV_M6DFett1,1YD8CVWVXl-K91Bma92a0wKWsjf32nO8s,,,Male,
"Iparu, Metallic Ally",AU,Ultra Rare,14,OverWorld,50,50,50,50,50,1,,Hero,"At the beginning of each turn, Iparu becomes a copy of target opposing Creature. (Iparu gains all scanned characteristics of that card including Disciplines, Elemental Types, Energy, and abilities.)",,,1,1,,1wRUweDVNoHmD5hCw_M7-CpfJpe6vuN-6,13ttHRgHlYLBnQiD7Q1IB1gLzzvRz4GRg,1FFSZPx63QsX9g9X65iPUT3--MbbAm1_h,,,"Ambiguous, Male",
Maglax,DOP,Uncommon,14,OverWorld,70,60,25,30,40,0,Earth,Guardian,Earth 5,Mommark’s monstrous creation has one thing going for him: a magnetic personality!,,,,,0B6oyUfwoM3u1eGE2REhCVGdZNmc,1IcZ5kol1-FE2Oga9euBS9zrj6YOG9b-t,0B90YZmNLvXOyOVljLU5uZ3dXUVU,,,Male,
"Nivenna, UnderWorld Lieutenant",FUN,Rare,14,UnderWorld,45,50,80,60,35,3,,Conqueror Muge,"{{MC}}{{MC}}: Deal 5 damage to target Creature for each Tribe you control.
If you control only Nivenna and Aivenna, this ability costs 1 less Mugic counter to play.",,,1,,,1sUYU_EzQJQ_2LIS6Mqwdn45OZTqmY8YM,1cQzHWrWE1RfLiROUDKtiOU7PUdkiD708,1-4mvealhq8RdFDWIsUa8lB_lBGND2Sr5,,,Female,
Swassa,ZOTH,Uncommon,14,UnderWorld,45,65,45,55,50,0,Fire,Warrior,"Deal 10 damage to a Creature you control: That Creature gains ""Swift 2"". This ability can only be used once per turn.","Rule #31: Never disobey a leader who wields four weapons at once.",,,,,0B6oyUfwoM3u1MWdLc2t1bkoxbVk,1FAK9BY2AYmJ1Er80twUspk01hprlEnCA,0B90YZmNLvXOyZTdReEM5a3Utems,,,Female,
